,0,1,2,3,4,5,6
1541,"(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,,
1542,"(2, 'sib', 'Tau')",,,,,,
1543,"(2, 'va', 'Tau')",,,,,,
1544,"(1, 'pp', 'Tau')",,,,,,
1545,"(2, 'po', 'po')","(2, 'po', 'Tau')",,,,,
1546,"(2, 'va', 'Tau')",,,,,,
1547,"(2, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,
1548,"(1, 'pp', 'Tau')",,,,,,
1549,"(2, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
1550,"(2, 'sib', 'Tau')",,,,,,
1551,"(2, 'va', 'Tau')",,,,,,
1552,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
1553,"(2, 'sib', 'Tau')",,,,,,
1554,"(2, 'po', 'Tau')",,,,,,
1555,"(1, 'pp', 'Tau')",,,,,,
1556,"(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,,
1557,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
1558,"(2, 'sib', 'po')","(2, 'po', 'Tau')",,,,,
1559,"(2, 'sib', 'Tau')",,,,,,
1560,"(2, 'po', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,
1561,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
1562,"(2, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
1563,"(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,
1564,"(2, 'po', 'Tau')",,,,,,
1565,"(2, 'sib', 'Tau')",,,,,,
1566,"(2, 'va', 'Tau')",,,,,,
1567,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
1568,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,
1569,"(2, 'sib', 'Tau')",,,,,,
1570,"(2, 'po', 'va')","(2, 'va', 'va')","(2, 'va', 'pp')","(1, 'pp', 'po')","(2, 'po', 'po')","(2, 'po', 'Tau')",
1571,"(2, 'po', 'Tau')",,,,,,
1572,"(1, 'pp', 'Tau')",,,,,,
1573,"(2, 'sib', 'Tau')",,,,,,
1574,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
1575,"(2, 'po', 'Tau')",,,,,,
1576,"(2, 'va', 'Tau')",,,,,,
1577,"(1, 'pp', 'po')","(2, 'po', 'po')","(2, 'po', 'Tau')",,,,
1578,"(1, 'pp', 'Tau')",,,,,,
1579,"(5, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
1580,"(1, 'pp', 'po')","(2, 'po', 'Tau')",,,,,
1581,"(2, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
1582,"(2, 'sib', 'Tau')",,,,,,
1583,"(2, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
1584,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
1585,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,,
1586,"(2, 'va', 'Tau')",,,,,,
1587,"(2, 'va', 'pp')","(1, 'pp', 'po')","(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')",,
1588,"(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'pp')","(1, 'pp', 'po')","(2, 'po', 'Tau')"
