,0,1,2,3,4,5,6
174,"(1, 'pp', 'pp')","(4, 'pp', 'pp')","(3, 'pp', 'va')","(0, 'va', 'va')","(2, 'va', 'Tau')",,
175,"(2, 'sib', 'Tau')",,,,,,
176,"(0, 'po', 'va')","(0, 'va', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'va')","(4, 'va', 'Tau')",
177,"(5, 'va', 'Tau')",,,,,,
178,"(2, 'va', 'Tau')",,,,,,
179,"(4, 'pp', 'va')","(2, 'va', 'Tau')",,,,,
180,"(6, 'pp', 'Tau')",,,,,,
181,"(4, 'po', 'va')","(3, 'va', 'va')","(1, 'va', 'po')","(0, 'po', 'pp')","(2, 'pp', 'pp')","(3, 'pp', 'Tau')",
182,"(4, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,,
183,"(2, 'va', 'Tau')",,,,,,
184,"(2, 'va', 'Tau')",,,,,,
185,"(3, 'va', 'pp')","(6, 'pp', 'Tau')",,,,,
186,"(4, 'va', 'Tau')",,,,,,
187,"(6, 'sib', 'sib')","(5, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,
188,"(0, 'pp', 'Tau')",,,,,,
189,"(1, 'va', 'Tau')",,,,,,
190,"(3, 'va', 'Tau')",,,,,,
191,"(0, 'va', 'va')","(1, 'va', 'Tau')",,,,,
192,"(3, 'va', 'sib')","(0, 'sib', 'sib')","(0, 'sib', 'pp')","(3, 'pp', 'Tau')",,,
193,"(1, 'va', 'Tau')",,,,,,
194,"(6, 'sib', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'pp')","(0, 'pp', 'va')","(4, 'va', 'va')","(5, 'va', 'Tau')",
195,"(1, 'sib', 'va')","(6, 'va', 'va')","(5, 'va', 'va')","(6, 'va', 'pp')","(3, 'pp', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'va')"
196,"(6, 'sib', 'pp')","(4, 'pp', 'va')","(5, 'va', 'Tau')",,,,
197,"(6, 'pp', 'Tau')",,,,,,
198,"(6, 'pp', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'va')","(0, 'va', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'sib')","(5, 'sib', 'sib')"
199,"(1, 'sib', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'va')","(6, 'va', 'Tau')",,,
200,"(0, 'po', 'pp')","(4, 'pp', 'po')","(1, 'po', 'pp')","(6, 'pp', 'Tau')",,,
201,"(5, 'sib', 'Tau')",,,,,,
202,"(3, 'po', 'Tau')",,,,,,
203,"(5, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
204,"(4, 'pp', 'pp')","(0, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
205,"(3, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
206,"(2, 'po', 'pp')","(6, 'pp', 'va')","(4, 'va', 'va')","(2, 'va', 'pp')","(6, 'pp', 'Tau')",,
207,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
208,"(1, 'sib', 'Tau')",,,,,,
209,"(2, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
210,"(2, 'po', 'Tau')",,,,,,
211,"(6, 'va', 'Tau')",,,,,,
212,"(3, 'sib', 'va')","(5, 'va', 'Tau')",,,,,
213,"(4, 'sib', 'Tau')",,,,,,
214,"(5, 'sib', 'pp')","(6, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
215,"(2, 'sib', 'Tau')",,,,,,
216,"(5, 'pp', 'po')","(6, 'po', 'pp')","(0, 'pp', 'Tau')",,,,
217,"(1, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
218,"(4, 'pp', 'va')","(2, 'va', 'Tau')",,,,,
219,"(2, 'po', 'po')","(0, 'po', 'po')","(3, 'po', 'Tau')",,,,
220,"(0, 'po', 'va')","(4, 'va', 'va')","(6, 'va', 'Tau')",,,,
221,"(5, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
222,"(3, 'va', 'Tau')",,,,,,
223,"(4, 'po', 'po')","(1, 'po', 'po')","(3, 'po', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'sib')","(5, 'sib', 'Tau')",
224,"(0, 'pp', 'Tau')",,,,,,
225,"(1, 'va', 'Tau')",,,,,,
226,"(0, 'sib', 'Tau')",,,,,,
227,"(1, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
228,"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
229,"(3, 'po', 'po')","(1, 'po', 'Tau')",,,,,
230,"(5, 'sib', 'sib')","(6, 'sib', 'Tau')",,,,,
231,"(6, 'po', 'pp')","(1, 'pp', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,
232,"(6, 'pp', 'Tau')",,,,,,
233,"(4, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
234,"(5, 'po', 'po')","(4, 'po', 'va')","(6, 'va', 'va')","(3, 'va', 'Tau')",,,
235,"(2, 'sib', 'Tau')",,,,,,
236,"(3, 'pp', 'Tau')",,,,,,
237,"(6, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
238,"(1, 'va', 'Tau')",,,,,,
239,"(4, 'sib', 'Tau')",,,,,,
240,"(3, 'sib', 'Tau')",,,,,,
241,"(4, 'po', 'Tau')",,,,,,
242,"(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
243,"(1, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
244,"(0, 'po', 'pp')","(0, 'pp', 'pp')","(6, 'pp', 'va')","(3, 'va', 'Tau')",,,
245,"(3, 'pp', 'va')","(3, 'va', 'va')","(2, 'va', 'Tau')",,,,
246,"(5, 'va', 'Tau')",,,,,,
247,"(4, 'po', 'Tau')",,,,,,
248,"(4, 'po', 'po')","(3, 'po', 'pp')","(5, 'pp', 'Tau')",,,,
249,"(1, 'va', 'pp')","(0, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
250,"(1, 'pp', 'Tau')",,,,,,
251,"(2, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
252,"(2, 'sib', 'sib')","(3, 'sib', 'sib')","(2, 'sib', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'Tau')",,
253,"(4, 'va', 'Tau')",,,,,,
254,"(4, 'va', 'Tau')",,,,,,
255,"(0, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,,
256,"(2, 'pp', 'Tau')",,,,,,
257,"(2, 'va', 'Tau')",,,,,,
258,"(0, 'po', 'Tau')",,,,,,
259,"(6, 'pp', 'po')","(5, 'po', 'Tau')",,,,,
260,"(4, 'po', 'Tau')",,,,,,
261,"(1, 'pp', 'Tau')",,,,,,
262,"(0, 'va', 'pp')","(6, 'pp', 'va')","(2, 'va', 'Tau')",,,,
263,"(6, 'po', 'va')","(6, 'va', 'va')","(4, 'va', 'va')","(3, 'va', 'va')","(5, 'va', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'va')"
264,"(2, 'po', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
265,"(2, 'pp', 'Tau')",,,,,,
266,"(6, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
267,"(1, 'pp', 'va')","(6, 'va', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
268,"(0, 'po', 'va')","(0, 'va', 'Tau')",,,,,
269,"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
270,"(0, 'sib', 'po')","(0, 'po', 'Tau')",,,,,
271,"(0, 'pp', 'Tau')",,,,,,
272,"(1, 'va', 'Tau')",,,,,,
273,"(4, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,,
274,"(5, 'pp', 'pp')","(6, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
275,"(6, 'va', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,
276,"(1, 'sib', 'Tau')",,,,,,
277,"(0, 'va', 'sib')","(2, 'sib', 'Tau')",,,,,
278,"(4, 'pp', 'va')","(4, 'va', 'Tau')",,,,,
279,"(6, 'po', 'po')","(6, 'po', 'va')","(6, 'va', 'va')","(2, 'va', 'Tau')",,,
280,"(3, 'sib', 'Tau')",,,,,,
281,"(3, 'sib', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
282,"(3, 'sib', 'Tau')",,,,,,
283,"(5, 'pp', 'Tau')",,,,,,
284,"(1, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,,
285,"(0, 'sib', 'Tau')",,,,,,
286,"(6, 'va', 'Tau')",,,,,,
287,"(4, 'pp', 'Tau')",,,,,,
288,"(0, 'va', 'va')","(6, 'va', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
289,"(1, 'po', 'Tau')",,,,,,
290,"(3, 'po', 'Tau')",,,,,,
291,"(5, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
292,"(3, 'sib', 'Tau')",,,,,,
293,"(3, 'pp', 'va')","(2, 'va', 'Tau')",,,,,
294,"(6, 'po', 'Tau')",,,,,,
295,"(1, 'va', 'Tau')",,,,,,
296,"(6, 'po', 'Tau')",,,,,,
297,"(6, 'pp', 'va')","(5, 'va', 'sib')","(1, 'sib', 'sib')","(4, 'sib', 'Tau')",,,
298,"(2, 'po', 'sib')","(5, 'sib', 'pp')","(0, 'pp', 'va')","(5, 'va', 'pp')","(0, 'pp', 'Tau')",,
299,"(6, 'va', 'Tau')",,,,,,
300,"(3, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
301,"(4, 'sib', 'Tau')",,,,,,
302,"(1, 'pp', 'Tau')",,,,,,
303,"(3, 'va', 'pp')","(3, 'pp', 'va')","(3, 'va', 'Tau')",,,,
304,"(6, 'po', 'pp')","(0, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
305,"(3, 'po', 'Tau')",,,,,,
306,"(6, 'sib', 'Tau')",,,,,,
307,"(5, 'pp', 'Tau')",,,,,,
308,"(4, 'po', 'Tau')",,,,,,
309,"(1, 'va', 'va')","(6, 'va', 'pp')","(2, 'pp', 'va')","(1, 'va', 'va')","(5, 'va', 'pp')","(5, 'pp', 'Tau')",
310,"(0, 'po', 'po')","(5, 'po', 'Tau')",,,,,
311,"(6, 'po', 'Tau')",,,,,,
312,"(1, 'va', 'Tau')",,,,,,
313,"(1, 'va', 'Tau')",,,,,,
314,"(6, 'sib', 'po')","(5, 'po', 'Tau')",,,,,
315,"(3, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
316,"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
317,"(5, 'sib', 'sib')","(4, 'sib', 'pp')","(4, 'pp', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'sib')","(4, 'sib', 'Tau')"
318,"(5, 'po', 'Tau')",,,,,,
319,"(6, 'po', 'po')","(3, 'po', 'Tau')",,,,,
320,"(1, 'pp', 'Tau')",,,,,,
321,"(5, 'po', 'Tau')",,,,,,
322,"(2, 'va', 'Tau')",,,,,,
323,"(2, 'po', 'pp')","(6, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
324,"(2, 'va', 'Tau')",,,,,,
325,"(6, 'po', 'pp')","(0, 'pp', 'Tau')",,,,,
