,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
14,-4.2,-1.0,-3.8,-1.6,-0.8,-0.4,4.66476151587624,1.0954451150103321,3.7094473981982814,1.854723699099141,1.32664991614216,2.33238075793812
15,-1.2,-0.2,-7.2,-0.6,-1.4,0.2,3.919183588453085,1.4696938456699067,9.826494797230598,1.8547236990991407,4.317406628984581,0.9797958971132713
16,-2.6,-3.2,-0.8,-4.2,-2.8,-1.6,3.611094017053558,2.2271057451320084,2.227105745132009,5.6,4.66476151587624,3.7735924528226414
17,-2.4,-2.6,-2.6,-12.6,-1.8,-7.6,6.3118935352238,4.127953488110059,2.0591260281974,7.49933330370107,3.6551333764994136,10.556514576317317
18,-4.6,-5.6,-2.4,-2.8,0.0,-8.4,11.2,8.089499366462675,2.416609194718914,3.4871191548325386,0.8944271909999159,12.208193969625484
19,0.2,-0.8,-3.0,-3.8,-6.2,-1.4,0.7483314773547883,2.7129319932501077,4.242640687119285,5.706137047074842,2.7129319932501077,1.8547236990991407
20,-5.8,-0.4,-0.6,-1.0,-1.6,0.8,7.984985911070852,1.4966629547095764,1.8547236990991407,1.0954451150103321,3.773592452822642,0.4
21,-4.0,-3.4,-4.6,-7.0,-2.6,0.8,4.049691346263317,6.887670143089026,4.31740662898458,9.777525249264253,3.6110940170535577,0.4000000000000001
22,-5.0,0.4,-0.6,0.0,-3.8,-1.4,6.164414002968976,0.7999999999999999,1.3564659966250536,0.0,2.785677655436824,3.3823069050575523
23,-2.0,-3.0,-3.2,-7.6,-5.8,-1.0,3.521363372331802,2.756809750418044,3.7629775444453557,4.029888335921977,4.4,2.5298221281347035
24,-2.2,0.2,-4.0,0.2,-2.6,0.6,5.418486873657627,0.4000000000000001,5.215361924162119,0.7483314773547883,6.216108107168021,0.8000000000000002
25,-0.4,-0.4,-0.6,-3.8,-9.6,-2.2,1.4966629547095764,1.8547236990991407,2.244994432064365,3.1874754901018454,9.00222194794152,3.4292856398964497
26,-4.6,-1.4,-0.8,-2.4,-3.8,-4.4,3.7202150475476548,2.244994432064365,2.1354156504062622,3.0066592756745814,3.54400902933387,5.043808085167397
27,0.0,-1.4,-2.2,-2.2,-2.2,-2.2,0.6324555320336759,1.3564659966250536,3.124099870362662,4.019950248448357,2.1354156504062622,2.925747767665559
