,No Drift,Drift Type: random,Drift Type: similar,Drift Type: inverse,No Drift_std,Drift Type: random_std,Drift Type: similar_std,Drift Type: inverse_std
26,-1.6,-4.6,-0.6,-3.2,3.3823069050575527,7.889233169326409,2.727636339397171,3.6551333764994136
27,-1.6,-1.4,-0.8,-4.2,3.3226495451672298,3.3823069050575527,2.227105745132009,3.4292856398964493
28,-7.2,0.2,-0.8,-5.6,9.66229786334493,0.7483314773547883,1.7204650534085255,6.343500610861482
29,-5.2,-0.8,-3.0,-0.4,6.3999999999999995,1.4696938456699067,2.6832815729997477,2.33238075793812
30,-4.8,-0.8,-7.2,-1.8,4.354308211415448,2.227105745132009,5.192301994298868,2.7129319932501073
31,-1.6,0.0,-4.8,-1.0,4.715930449020639,0.6324555320336759,2.9257477676655586,2.5298221281347035
32,-3.6,-1.0,-1.4,-3.0,3.7202150475476548,1.7888543819998317,2.727636339397171,4.147288270665544
33,-0.2,-2.0,0.0,-2.2,1.1661903789690602,4.049691346263317,0.8944271909999159,2.4819347291981715
34,-0.6,-2.4,0.0,-0.6,1.7435595774162693,5.314132102234569,1.0954451150103321,2.244994432064365
35,-1.8,-3.2,-8.4,-3.4,2.7129319932501073,4.1182520563948,8.97997772825746,4.63033476111609
36,-3.6,0.2,-2.4,-1.8,5.817215828899595,1.1661903789690602,3.49857113690718,2.3151673805580453
37,-4.8,-8.4,0.2,-4.2,5.035871324805668,11.18212859879549,0.7483314773547883,4.707440918375928
38,-7.6,-5.0,-2.2,-1.6,6.887670143089026,6.196773353931867,1.9390719429665317,3.8781438859330635
39,-0.8,-3.4,1.0,-1.2,0.7483314773547883,3.1999999999999997,0.0,2.9257477676655586
40,-2.2,0.4,-0.6,0.4,5.418486873657627,0.48989794855663565,1.8547236990991407,0.48989794855663565
41,-1.2,-1.4,-4.8,0.0,1.6,4.31740662898458,8.304215796810677,2.0
42,-0.2,-3.6,-5.4,0.4,1.9390719429665317,3.720215047547655,5.71314274283428,0.48989794855663565
43,-1.4,-4.8,-1.2,-2.2,2.8705400188814645,5.1536394906900505,2.5612496949731396,2.9257477676655586
44,-6.2,-0.4,-4.4,-2.2,9.368030742904295,1.019803902718557,6.6211781428987395,4.534313619501854
45,-4.6,-2.8,-4.6,0.6,4.127953488110059,3.709447398198282,7.657675887630659,0.48989794855663565
46,-3.4,-11.8,-5.6,-3.6,5.953150426454887,11.6,12.208193969625482,6.468384651518492
47,-1.2,-3.0,-3.4,-0.2,3.124099870362662,3.687817782917155,5.425863986500215,0.9797958971132712
48,-1.4,-4.4,-2.4,-3.0,3.3226495451672298,4.127953488110059,3.49857113690718,7.014271166700073
49,-5.6,-1.2,-1.2,-3.0,4.923413450036469,2.4,2.4,2.756809750418044
50,-5.2,-19.2,-12.6,-14.4,7.138627319029899,9.682974749528164,1.9595917942265424,3.9293765408777004
51,-1.8,-17.8,-9.2,-16.4,5.1146847410177685,6.554387843269576,2.9257477676655586,4.498888751680797
52,-3.0,-14.6,-9.0,-15.2,4.857983120596447,7.787168933572714,3.3466401061363023,3.6
53,-3.8,-10.0,-15.6,-17.8,3.762977544445356,5.89915248150105,2.244994432064365,1.469693845669907
54,-7.8,-16.4,-13.8,-10.6,9.744742172063868,5.083306010855534,2.9257477676655586,3.2
55,-4.0,-6.4,-21.2,-17.2,8.532291603080617,4.963869458396343,2.6381811916545836,4.707440918375928
56,-4.0,-16.2,-16.2,-16.4,5.403702434442518,4.308131845707604,3.1874754901018454,3.2
57,-3.8,-10.8,-19.8,-19.2,3.3105890714493698,3.059411708155671,3.4292856398964493,4.66476151587624
58,-2.8,-15.0,-16.8,-18.2,1.9390719429665317,6.48074069840786,2.9257477676655586,2.7856776554368237
59,-3.2,-14.2,-15.6,-15.6,5.114684741017769,4.534313619501853,3.6660605559646724,1.3564659966250536
60,-8.0,-16.4,-16.4,-17.6,6.572670690061994,4.223742416388575,2.4166091947189146,3.4409301068170506
61,-12.6,-12.2,-21.2,-20.6,8.309031231136395,4.166533331199932,3.54400902933387,4.882622246293481
62,-4.4,-11.2,-13.2,-14.2,3.6110940170535577,5.912698199637793,6.337191807101943,4.707440918375928
63,-0.8,-17.8,-18.0,-16.0,2.638181191654584,7.249827584156743,3.63318042491699,4.560701700396552
64,-1.0,-14.0,-17.2,-16.8,3.521363372331802,7.183313998427188,3.3105890714493698,3.249615361854384
65,-5.6,-18.2,-12.2,-15.0,4.079215610874228,3.867815921162743,4.166533331199932,4.516635916254486
66,-4.8,-9.2,-15.8,-17.4,5.635601121442148,4.874423042781576,3.8157568056677826,5.161395160225576
67,-0.6,-11.4,-16.0,-16.4,1.8547236990991407,5.678027826631356,2.280350850198276,2.5768197453450252
68,-2.0,-13.6,-19.8,-20.6,3.03315017762062,4.029888335921977,7.573638491504594,3.8781438859330635
69,-1.8,-10.2,-16.0,-12.8,2.4819347291981715,5.344155686354955,6.418722614352485,3.815756805667783
70,-4.4,-10.6,-8.6,-14.2,5.276362383309167,6.974238309665077,2.0591260281974,0.7483314773547882
71,-0.8,-12.4,-15.2,-13.0,2.4000000000000004,6.3118935352238,4.019950248448356,4.427188724235731
72,-2.0,-13.8,-16.2,-16.0,2.1908902300206643,8.23164625090267,4.445222154178574,2.6076809620810595
73,-3.6,-16.6,-16.2,-19.2,2.244994432064365,7.116178749862878,4.354308211415448,2.993325909419153
74,-1.8,-12.0,-15.4,-14.0,1.8330302779823362,5.513619500836088,6.945502141674135,4.516635916254486
75,-7.8,-10.6,-14.6,-16.8,7.626270385975047,8.309031231136395,5.2,5.114684741017769
76,-1.4,-8.8,-17.0,-16.8,3.3226495451672298,6.462197768561405,3.7416573867739413,5.912698199637793
77,-4.4,-13.2,-20.0,-22.0,5.71314274283428,9.64157663455516,4.560701700396552,1.4142135623730951
78,-6.0,-13.0,-18.0,-18.8,6.603029607687671,7.615773105863909,4.147288270665544,3.4292856398964493
79,-5.6,-14.0,-16.2,-17.6,5.851495535331118,8.17312669668102,3.3105890714493698,2.65329983228432
80,-2.8,-18.4,-18.2,-17.8,4.791659420284375,5.3516352641038605,3.867815921162743,3.249615361854384
81,-4.8,-14.6,-15.2,-14.8,4.48998886412873,6.529931086925803,3.54400902933387,2.315167380558045
82,-1.4,-11.6,-16.4,-15.0,3.8262252939417984,6.945502141674136,3.3823069050575527,3.0983866769659336
83,-2.2,-13.2,-15.6,-17.8,1.9390719429665317,4.791659420284375,3.3823069050575527,4.445222154178573
84,-0.6,-11.4,-15.0,-13.0,1.3564659966250536,7.002856560004639,1.6733200530681511,3.7416573867739413
85,-0.4,-15.2,-16.4,-14.2,1.3564659966250538,8.182909018191515,3.4985711369071804,2.6381811916545836
86,-2.4,-21.8,-12.0,-15.6,3.49857113690718,6.013318551349164,5.865151319446072,5.314132102234569
87,-0.8,-12.2,-17.2,-18.4,1.9390719429665317,4.621688003316537,5.192301994298869,4.586937976471886
88,-1.6,-15.2,-17.8,-20.8,1.8547236990991407,9.537295214053092,3.4871191548325386,2.3151673805580453
89,0.0,-8.6,-18.0,-18.6,1.0954451150103321,4.5431266766402185,2.8284271247461903,2.5768197453450252
90,-0.6,-20.4,-11.8,-15.0,2.0591260281974,5.9531504264548865,3.8157568056677826,2.280350850198276
91,-0.4,-14.4,-13.4,-17.4,1.4966629547095764,8.187795796183488,3.6110940170535577,1.7435595774162693
92,0.6,-14.4,-20.2,-18.4,0.8000000000000002,3.8781438859330635,3.059411708155671,2.3323807579381204
93,-2.8,-16.6,-16.4,-14.2,2.6381811916545836,8.309031231136395,3.2,5.528109984434102
94,-3.0,-12.4,-15.8,-17.2,4.516635916254486,7.445804187594514,4.019950248448356,5.81033561853358
95,-3.6,-11.6,-16.8,-13.6,5.953150426454887,7.4993333037010705,6.144916598294887,2.33238075793812
96,-3.6,-13.2,-17.8,-17.0,7.255342858886822,6.368673331236263,2.9257477676655586,2.6076809620810595
97,-2.8,-15.6,-16.4,-14.0,6.615134163416491,7.200000000000001,3.8262252939417984,2.1908902300206643
98,-5.0,-8.8,-21.2,-23.0,9.186947262284681,5.741080037762929,3.8678159211627436,2.280350850198276
99,-2.6,-14.4,-18.6,-14.4,3.4985711369071804,6.56048778674269,2.244994432064365,4.715930449020639
