,No Drift,random Transition, similar Transition,Inverse Transition,No Drift_std,random Transition_std, similar Transition_std,Inverse Transition_std
21,-7.6,-2.0,-3.0,-0.6,9.32952303175248,2.6076809620810595,8.0,1.7435595774162693
22,-4.8,-0.4,-1.0,-6.4,7.626270385975047,1.4966629547095764,2.0976176963403033,11.01998185116473
23,-5.4,-1.8,-1.4,-3.0,4.029888335921977,2.7129319932501073,4.800000000000001,5.692099788303083
24,-0.8,-3.2,-3.0,-0.6,1.7204650534085255,2.4000000000000004,2.756809750418044,3.2000000000000006
25,-5.0,-1.4,-1.6,-1.2,5.549774770204643,2.0591260281974,2.870540018881465,2.227105745132009
26,-3.0,-9.2,-1.2,-3.4,4.147288270665544,7.35934779718964,2.4000000000000004,3.6110940170535573
27,-5.6,-3.2,-2.8,-2.2,5.276362383309167,3.8157568056677826,4.955804677345546,3.9698866482558417
28,-3.6,-0.8,-0.4,-8.0,3.8781438859330635,2.227105745132009,1.4966629547095764,6.164414002968976
29,-2.6,-5.6,-0.8,-3.8,3.8781438859330635,8.82269800004511,2.1354156504062622,6.8527366796047255
30,-2.8,-3.8,-3.0,0.4,3.709447398198282,4.791659420284375,4.560701700396552,0.7999999999999999
31,0.6,-3.6,-3.0,-4.2,0.48989794855663565,4.963869458396343,3.847076812334269,1.6
32,-0.4,-3.0,-2.0,-1.6,1.8547236990991407,4.857983120596447,5.059644256269407,4.223742416388575
33,-6.4,-3.2,-2.2,-0.8,6.374950980203691,3.3704599092705436,6.400000000000001,1.32664991614216
34,-0.2,-2.2,-3.0,-1.6,0.4000000000000001,4.534313619501853,3.521363372331802,3.7735924528226414
35,-1.4,-2.4,-2.2,-3.6,2.8705400188814645,4.454211490264017,2.925747767665559,4.498888751680798
36,-3.4,-1.8,-1.8,-1.0,2.0591260281974,3.1874754901018454,3.0594117081556713,1.7888543819998317
37,-2.6,-9.4,-5.2,-0.2,3.826225293941799,10.480458005259123,5.2687759489277965,0.9797958971132713
38,-6.2,-2.6,-0.6,-2.4,8.109253973085318,3.720215047547655,1.8547236990991407,3.3226495451672298
39,-6.0,-0.4,-3.2,-3.8,11.50651989091402,2.33238075793812,5.075431016179809,5.741080037762929
40,-8.0,-1.6,-2.0,-0.8,10.0,2.4979991993593593,2.5298221281347035,2.638181191654584
41,-3.8,-2.0,-6.6,-4.4,6.241794613730893,3.63318042491699,6.651315659326356,6.343500610861482
42,-2.6,-7.4,-4.8,-2.4,5.748043145279966,12.467557900406959,6.734983296193094,5.314132102234569
43,-4.8,-3.2,-1.4,-3.0,5.075431016179809,4.534313619501853,1.7435595774162693,3.847076812334269
44,-4.4,-0.8,-1.0,-3.4,6.590902821313633,2.638181191654584,3.03315017762062,3.6660605559646715
45,-4.6,0.8,-4.4,-1.8,7.002856560004639,0.4000000000000001,4.409081537009721,3.1874754901018454
46,-5.0,-0.2,-4.8,-3.4,3.63318042491699,1.6,4.261455150532504,5.4258639865002145
47,-2.2,-3.2,-6.0,-4.6,2.7856776554368237,4.019950248448357,8.809086218218097,8.708616422830897
48,-1.6,-0.2,-4.6,-0.8,1.624807680927192,1.5999999999999999,5.535341001239219,1.7204650534085255
49,-0.2,-5.0,-1.0,-4.2,1.16619037896906,5.019960159204453,2.0976176963403033,4.534313619501853
50,-8.6,-14.8,-13.4,-15.8,9.789790600416334,7.909487973314076,3.7202150475476548,2.7856776554368237
51,-4.6,-16.0,-16.6,-13.6,3.9293765408777004,5.966573556070519,4.079215610874227,2.4166091947189146
52,-9.0,-10.8,-9.0,-13.2,11.045361017187261,6.554387843269576,4.147288270665544,3.1240998703626617
53,-3.4,-12.6,-14.2,-18.8,1.624807680927192,8.404760555780278,2.1354156504062622,3.3105890714493698
54,-5.2,-16.0,-18.2,-15.8,6.8527366796047255,4.69041575982343,6.49307323229917,4.261455150532504
55,-4.6,-7.4,-18.0,-18.0,5.678027826631356,7.4993333037010705,1.8973665961010275,2.3664319132398464
56,-0.8,-12.4,-12.0,-14.2,3.124099870362662,4.882622246293481,2.756809750418044,1.469693845669907
57,-3.8,-19.2,-16.4,-18.8,5.3065996645686395,6.241794613730894,1.8547236990991407,2.481934729198171
58,-8.2,-17.0,-16.8,-19.4,6.910861017268399,7.974960814950754,4.166533331199932,2.727636339397171
