,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
46,-1.2,-3.6,-1.6,-1.6,-4.6,-1.6,3.4871191548325386,3.6660605559646724,3.0724582991474434,3.2619012860600183,7.1442284397967,2.870540018881465
47,-1.4,-1.6,-1.4,-0.2,-3.6,-1.2,3.8781438859330635,2.7276363393971716,2.4979991993593593,0.7483314773547883,4.363484845854286,2.6381811916545836
48,-3.4,-5.2,-1.8,0.4,-11.2,-7.6,4.63033476111609,8.034923770640267,4.1182520563948,0.7999999999999999,7.138627319029899,8.73155198117723
49,-1.0,0.4,-1.6,-3.2,-0.6,-0.2,1.4142135623730951,0.48989794855663565,2.870540018881465,4.1182520563948,2.244994432064365,1.9390719429665315
50,-0.2,0.6,-4.4,-10.2,-29.6,-14.6,1.16619037896906,0.48989794855663565,5.535341001239219,11.05260150371848,1.7435595774162693,2.4166091947189146
51,-3.6,-7.6,-7.0,-8.0,-0.4,-10.4,3.5552777669262356,4.758150901348127,4.560701700396552,7.694153624668538,1.3564659966250538,3.1368774282716245
52,-3.2,-2.8,-4.0,-3.6,0.2,-13.0,4.707440918375928,1.9390719429665317,5.329165037789691,9.199999999999998,0.4,4.049691346263317
53,-0.6,-2.4,-6.6,-4.6,-5.8,-16.2,1.624807680927192,2.727636339397171,5.499090833947008,9.728309205612247,13.105723940324701,2.0396078054371136
54,-0.8,-2.0,-5.2,-4.8,-12.4,-13.6,2.227105745132009,4.09878030638384,4.445222154178574,10.107423014794621,15.602563891873668,6.151422599691879
55,-0.4,-6.4,-9.2,-11.4,-24.0,-22.6,1.8547236990991407,9.81019877474458,5.192301994298868,11.412274094149685,12.0,2.244994432064365
56,-1.8,0.4,-6.0,-4.6,-18.2,-15.8,2.7129319932501077,0.7999999999999999,5.366563145999495,10.209799214480174,15.302287410710857,4.1182520563948
57,-3.0,-3.2,-2.0,-5.2,-6.0,-19.6,3.7416573867739413,5.979966555090422,5.019960159204453,9.064215354899728,12.505998560690786,2.727636339397171
58,-3.0,-3.8,-5.0,-7.8,-11.6,-14.6,2.0976176963403033,4.261455150532504,4.979959839195493,8.885943956609225,15.435025105259788,2.33238075793812
59,-3.8,-1.0,-5.0,-9.2,-12.0,-13.6,6.209669878504009,1.7888543819998317,5.176871642217914,12.08966500776593,15.12613632095123,4.715930449020639
