,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
22,-1.8,-2.6,-9.0,-0.8,-1.0,-7.0,3.6000000000000005,5.71314274283428,9.939818911831342,0.7483314773547883,1.5491933384829668,4.147288270665544
23,-1.6,-1.8,-1.2,0.2,-8.4,-3.2,3.7735924528226414,3.6551333764994136,1.9390719429665315,1.1661903789690602,11.253443917308159,6.20966987850401
24,-4.6,-3.6,-5.4,-1.6,-4.2,-0.8,5.238320341483519,5.0039984012787215,3.9293765408777004,1.9595917942265424,7.249827584156744,1.7204650534085255
25,-2.4,-2.2,-2.2,-3.8,-5.4,-2.8,3.555277766926235,3.370459909270544,2.4819347291981715,4.791659420284375,8.380930735902785,2.4819347291981715
26,-2.4,-2.6,-2.8,-2.8,-1.8,-1.6,4.029888335921977,5.425863986500215,5.635601121442148,7.6000000000000005,3.1874754901018454,2.4979991993593593
27,-2.8,-2.2,-2.2,-1.6,-0.6,-5.2,3.9698866482558417,3.1874754901018454,3.655133376499413,1.854723699099141,2.244994432064365,5.418486873657627
28,-3.2,-1.8,-3.2,-2.4,0.2,-2.6,4.445222154178573,2.1354156504062622,5.946427498927402,3.49857113690718,1.6000000000000003,3.6660605559646724
29,-2.4,-0.8,-3.6,-2.2,-0.2,0.2,4.223742416388575,1.7204650534085255,5.851495535331117,2.5612496949731396,1.9390719429665317,0.4
30,-8.2,-0.8,-0.8,-0.8,-3.2,-7.0,8.158431221748456,1.469693845669907,2.1354156504062622,0.9797958971132712,4.261455150532504,7.771743691090179
31,-3.6,-3.8,-0.8,-0.6,0.2,-1.8,4.454211490264018,5.192301994298868,2.638181191654584,1.3564659966250536,0.7483314773547883,2.7856776554368237
32,-7.6,-0.2,-4.4,-2.6,-0.4,-2.0,5.0039984012787215,1.1661903789690602,3.4409301068170506,3.8781438859330635,1.8547236990991407,2.6076809620810595
33,-2.2,-8.0,-1.6,-4.6,0.4,-0.6,3.1874754901018454,6.356099432828281,2.870540018881465,3.6660605559646724,0.7999999999999999,1.8547236990991407
34,-1.2,0.0,-4.0,-0.8,-1.8,-3.8,2.9933259094191533,0.6324555320336759,4.049691346263317,1.8330302779823362,3.4292856398964497,4.578209256903839
35,-2.0,-3.8,-1.2,-1.8,-1.8,-2.0,2.1908902300206643,6.368673331236262,3.919183588453085,5.1146847410177685,1.9390719429665317,3.521363372331802
36,-2.2,-3.4,-2.8,-0.4,-1.8,-0.6,4.166533331199932,5.817215828899594,3.8157568056677826,1.9595917942265424,4.166533331199932,2.244994432064365
37,-2.0,0.0,-1.4,-2.8,-1.0,-7.0,2.1908902300206643,0.0,2.244994432064365,2.1354156504062622,3.03315017762062,11.882760622010357
38,0.4,-5.4,-1.6,-8.4,-0.6,0.0,0.7999999999999999,4.586937976471886,2.0591260281974,9.090654541890808,1.019803902718557,0.6324555320336759
39,-3.2,-6.6,-7.4,-4.6,-4.0,-6.4,5.979966555090422,7.472616676907761,8.404760555780278,5.748043145279966,3.847076812334269,8.499411744350311
40,-2.2,-3.0,-2.2,-3.6,-0.8,-3.6,2.9257477676655586,4.09878030638384,3.4292856398964497,3.3823069050575527,2.227105745132009,6.280127387243033
41,-3.2,-4.0,0.2,-2.6,-4.0,-3.8,5.03587132480567,5.176871642217914,0.7483314773547883,5.238320341483519,6.870225614927067,7.166589146867566
42,-2.6,-1.4,-1.6,-1.6,-2.4,-4.2,4.800000000000001,2.576819745345025,4.715930449020639,4.223742416388576,2.939387691339814,6.910861017268399
43,-6.4,-2.8,-5.0,-4.0,-0.4,-2.8,10.49952379872535,2.4819347291981715,6.81175454637056,7.127411872482185,1.2000000000000002,3.4292856398964493
44,-2.8,-2.4,-4.2,-0.6,0.2,-3.6,5.81033561853358,3.49857113690718,2.7856776554368237,2.3323807579381204,0.9797958971132713,5.388877434122992
45,-0.2,-0.8,-1.6,-0.2,-2.4,-1.0,2.4,1.6,2.0591260281974,1.4696938456699067,3.49857113690718,1.5491933384829668
46,-0.8,-1.8,-4.8,-1.8,-5.2,-2.0,2.227105745132009,2.039607805437114,5.381449618829484,2.3151673805580453,3.4871191548325386,3.63318042491699
47,-3.2,-2.2,-2.4,0.8,-2.0,-4.4,4.019950248448357,2.925747767665559,3.49857113690718,0.4000000000000001,1.2649110640673518,4.223742416388576
48,-1.6,-7.8,-6.0,0.0,-1.2,-3.0,2.4166091947189146,11.513470371699404,6.957010852370434,0.8944271909999159,2.039607805437114,4.33589667773576
49,-2.0,-2.8,-4.8,-7.4,-2.4,-0.6,4.049691346263317,3.9698866482558417,7.025667228100119,9.090654541890808,3.555277766926235,1.7435595774162693
